arffFilename,Learner,ExampleBasedAccuracy,ExampleBasedPrecision,ExampleBasedRecall,HammingLoss,SubsetAccuracy,ExampleBasedFMeasure,AverageMAE,AveragePrecision,AverageRMSE,Coverage,ErrorSetSize,ExampleBasedSpecificity,LogLoss,MacroFMeasure,MacroPrecision,MacroRecall,MacroSpecificity,MeanAveragePrecision,MeanSquaredError,MicroAUC,MicroFMeasure,MicroPrecision,MicroRecall,MicroSpecificity,OneError,RankingLoss,RootMeanSquaredError
data/VirusGO_Mulan/VirusGO.arff,EnsembleOfClassifierChainsMV,0.8123,0.8300,0.8679,0.0665,0.7398,0.8368,NaN,0.9280,NaN,0.4336,0.2595,0.9553,2.8754,0.7958,0.7901,0.8358,0.9503,0.8972,0.3276,0.9478,0.8373,0.8323,0.8456,0.9557,0.1250,0.0440,0.5606
data/VirusGO_Mulan/VirusGO.arff,EnsembleOfClassifierChainsME,0.8008,0.8210,0.8556,0.0674,0.7250,0.8261,NaN,0.9321,NaN,0.4143,0.2402,0.9572,1.6878,0.7930,0.7943,0.8275,0.9522,0.9103,0.3258,0.9597,0.8333,0.8364,0.8329,0.9577,0.1202,0.0405,0.5597
data/VirusGO_Mulan/VirusGO.arff,EnsembleOfClassifierChainsDT(S),0.8121,0.8298,0.8676,0.0665,0.7395,0.8365,NaN,NaN,NaN,NaN,NaN,0.9553,NaN,0.7974,0.7897,0.8379,0.9498,NaN,NaN,NaN,0.8373,0.8311,0.8457,0.9557,NaN,NaN,NaN
data/GpositiveGO_Mulan/GpositiveGO.arff,EnsembleOfClassifierChainsMV,0.8959,0.8998,0.9210,0.0453,0.8670,0.9056,NaN,0.9610,NaN,0.1040,0.0963,0.9672,1.3675,0.7846,0.7986,0.8003,0.9682,0.8757,0.1454,0.9758,0.9109,0.9044,0.9177,0.9672,0.0713,0.0318,0.3777
data/GpositiveGO_Mulan/GpositiveGO.arff,EnsembleOfClassifierChainsME,0.8931,0.8969,0.9114,0.0462,0.8709,0.9005,NaN,0.9604,NaN,0.1059,0.0982,0.9692,0.7483,0.7487,0.7525,0.7651,0.9701,0.9060,0.1421,0.9879,0.9082,0.9085,0.9082,0.9691,0.0713,0.0324,0.3733
data/GpositiveGO_Mulan/GpositiveGO.arff,EnsembleOfClassifierChainsDT(S),0.8950,0.8988,0.9191,0.0462,0.8670,0.9043,NaN,NaN,NaN,NaN,NaN,0.9666,NaN,0.7623,0.7513,0.7919,0.9679,NaN,NaN,NaN,0.9090,0.9025,0.9158,0.9665,NaN,NaN,NaN
data/GnegativeGO_Mulan/GnegativeGO.arff,EnsembleOfClassifierChainsMV,0.8990,0.9130,0.9400,0.0234,0.8441,0.9173,NaN,0.9601,NaN,0.3125,0.2701,0.9841,1.6870,0.8964,0.8771,0.9260,0.9809,0.9325,0.1576,0.9737,0.9124,0.8975,0.9281,0.9840,0.0496,0.0323,0.3954
data/GnegativeGO_Mulan/GnegativeGO.arff,EnsembleOfClassifierChainsME,0.8983,0.9120,0.9389,0.0234,0.8441,0.9164,NaN,0.9699,NaN,0.1602,0.1150,0.9842,0.8941,0.8929,0.8761,0.9191,0.9810,0.9527,0.1533,0.9898,0.9120,0.8980,0.9267,0.9841,0.0481,0.0146,0.3900
data/GnegativeGO_Mulan/GnegativeGO.arff,EnsembleOfClassifierChainsDT(S),0.8990,0.9123,0.9407,0.0234,0.8441,0.9173,NaN,NaN,NaN,NaN,NaN,0.9839,NaN,0.8961,0.8764,0.9262,0.9807,NaN,NaN,NaN,0.9122,0.8964,0.9288,0.9838,NaN,NaN,NaN
data/Genbase_Mulan/Genbase.arff,EnsembleOfClassifierChainsMV,0.3007,0.3368,0.3007,0.0339,0.2779,0.3104,NaN,0.4813,NaN,11.7204,13.2088,1.0000,14.0640,0.4221,0.4815,0.4077,1.0000,0.3233,0.8749,0.7059,0.4219,1.0000,0.2700,1.0000,0.4925,0.4178,0.9335
